actor~actress|performer
actress~actor|singer
acts~things|aggression
actual~higher-than-expected|cumulative
actualize~maximise|undergird
actually~never|really
actuarial~postgraduate|quantitative
actuary~adjuster|demographer
acuity~subtlety|eloquence
acumen~prowess|skill
acupuncture~chiropractic|therapy
acupuncturist~physical therapist|chiropractor
acute~endemic|cash crunch|chronic|severe
acutely~keenly|poignantly
adage~axiom|Truism
adamant~steadfast|vehement
adamantly~staunchly|steadfastly
adapt~adjust|tailor
adaptability~resilience|responsiveness
adaptable~responsive|resilient
adaptation~version|remake
adapted~co-written|written
adapter~connector|modem
adaptive~diagnostic|easy-to-use
add~ADHD|bifida|say|have
added~extra|additional
addendum~annex|preamble
addict~drug addict|drug user|accustom|inure
addicted~at-risk|drug-addicted
addictive~harmful|toxic
addition~response|access
additional~another five years|another six months|extra|estimated
additive~MTBE|pesticide
addled~deranged|tipsy
address~speech|message|deal with|discuss
addressed~answerable|handed
adenovirus~HIV-@|ketamine
adept~picky|timid|skilled|proficient
adequacy~soundness|suitability
adequate~inadequate|sufficient
adequately~inadequately|properly
adhere~adhere to|conform
adherence~commitment|contrary
adherent~follower|devotee
adhesion~accession|counterbalance
adhesive~glue|grout|soluble|sticky
adieu~farewell|riddance
adjacent~adjoining|nearby
adjective~verb|noun
adjoin~abut|overlook
adjoining~windowless|second-floor
adjourn~recess|postpone
adjournment~mistrial|continuance
adjudge~rehear|presuppose
adjudicate~arbitrate|litigate
adjudication~final judgment|eminent domain
adjunct~safety valve|corrective
adjust~adapt|readjust
adjustable~folding|padded
adjusted~unadjusted|annualized
adjuster~actuary|aerospace engineer
adjustment~readjustment|change
administer~supervise|prescribe
administrate~administer|privatise
administration~government|management
administrative~regulatory|supervisory
administratively~internally|individually
administrator~superintendent|official
admirable~commendable|laudable
admirably~magnificently|ably
admiration~affection|appreciation
admire~respect|appreciate
admired~respected|revered
admirer~devotee|fan
admiring~adoring|worshipful
admiringly~longingly|approvingly
admissible~inadmissible|exculpatory
admission~entry|admittance
admit~acknowledge|confess
admittance~admission|accession
admitted~confessed|acknowledged
admonish~chide|rebuke
admonition~dictum|adage
adobe~Corel|Cisco
adolescence~adulthood|Childhood
adolescent~teen-ager|teens|teen|youthful
adopt~approve|ratify
adopted~approved|endorsed
adoptees~illegals|mainlanders
adopters~bird-watchers|baby-boomers
adoption~Implementation|ratification
adorable~cute|cuddly
adoration~adulation|affection
adore~hate|admire
adored~beloved|doting
adoring~worshipful|doting
adorn~decorate|festoon
adorned~decorated|plastered
adornment~waistcoat|ornament
adrenalin~adrenaline|cortisone
adrenaline~adrenalin|testosterone
adrift~afloat|alone
adroit~deft|skillful
adroitly~skillfully|nimbly
adulation~adoration|accolade
adult~child|people|male|female
adulterate~moisten|contaminate
adulteration~insider trading|more than @ million tons
adulterer~Philanderer|acquirer
adulterous~extramarital|sadomasochistic
adultery~infidelity|sodomy
adulthood~manhood|womanhood
advance~gain|decline|win|Rally
advanced~Advancing|sophisticated
advancement~progress|development
advancer~decliner|Gainer
advantage~lead|edge
advantageous~beneficial|disadvantageous
advent~coming|emergence
adventure~tale|journey|revolve around|retell
adventurer~balloonist|mountaineer
adventuresome~adventurous|discriminating
adventurism~sphere of influence|expansionism
adventurous~adventuresome|innovative
adversarial~acrimonious|confrontational
adversary~enemy|foe
adverse~unfavorable|favorable
adversely~negatively|disproportionately
adversity~hardship|trauma
advertise~sell|feature
advertised~top-selling|discounted
advertisement~AD|Advertising
advertiser~marketers|consumer
advertize~vend|overstretch
advice~guidance|information
advisable~inconceivable|a bit much
advise~inform|warn
advised~SCORNED|endorsed
adviser~advisor|aide
advisor~adviser|security adviser
advisories~Advisory|disclaimer
advocacy~advocate|activism
advocate~proponent|activist|call for|support
ae~parf-ip|scw
aegis~auspice|auspices
aerate~emulsify|fertilize
aerial~halfpipe|epee|high-resolution|infrared
aero~V@@|gas turbine
aerobic~cardiovascular|after-school
aerobics~yoga|karate
aerodynamic~ergonomic|sporty
aerodynamics~windscreen|undercarriage
aeronautical~fire-fighting|seismological
aeronautics~aerospace|metallurgy
aerosol~droplet|hydrocarbon
aerospace~shipbuilding|petrochemical
aesthetic~esthetic|philosophy|esthetic|artistic
aesthetically~artistically|culturally
aesthetics~morals|viciousness
afar~far and wide|helplessly
affability~good humor|gallantry
affable~amiable|soft-spoken
affair~matter|relationship
affect~impact|effect|cause|hurt
affectation~cohesiveness|cliche
affected~unaffected|stricken
affecting~touching|poignant
affection~admiration|sympathy
affectionate~loving|sly
affectionately~derisively|generically
affidavit~testimony|memo
affiliate~subsidiary|television station|proselytize|get around to
affiliated~unaffiliated|funded
affiliation~ethnicity|nationality
affinity~fondness|affection
affirm~reaffirm|reiterate
affirmation~reaffirmation|validation
affirmative~remedial|race-based
affirmatively~tersely|emphatically
affix~attach|glue
afflict~affect|infect
afflicted~infected|at-risk
affliction~malady|ailment
affluence~prosperity|wealth
affluent~wealthy|middle class|well-off|well-to-do
afford~need|offer
affordable~unaffordable|cheap
afforest~irrigate|reclaim
afforestation~reforestation|reclamation
affront~insult|provocation
aficionado~aficionados|buff
aficionados~enthusiast|buff
afield~far and wide|astray
afire~ablaze|outgunned
aflame~rimmed|unreported
afloat~solvent|unfilled
afoot~underway|rooted
aforementioned~above-mentioned|various
afraid~fearful|aware
afresh~longingly|anew
afterburner~reversers|reverser
aftereffect~recurrence|brunt
afterglow~glow|euphoria
afterlife~damnation|hereafter
aftermarket~golf equipment|generics
aftermath~wake|aftereffect
afternoon~morning|Evening
afternoons~evenings|mornings
aftershock~tremor|temblor
aftertaste~odor|aroma
afterthought~pariah|anticlimax
afterward~afterwards|thereafter
afterwards~afterward|thereafter
afterword~preface|foreword
agave~Milkweed|hibiscus
age~time|era|live|enrol
aged~elderly|senior citizen|elderly|aging
ageless~timeless|guileless
agency~department|organization
agenda~strategy|proposal
agent~officer|lawyer
agglomeration~conglomeration|aggregation
aggravate~exacerbate|worsen
aggravated~attempted|Spousal
aggravating~distasteful|dispiriting
aggravation~worsening|de-escalation
aggregate~GDP|technical knockout|cumulative|lower-than-expected|drub|eat into
aggregation~agglomeration|overabundance
aggression~invasion|military action
aggressive~vigorous|smart
aggressively~vigorously|actively
aggressiveness~toughness|tenacity
aggressor~invader|imperialist
aggrieve~embitter|flabbergast
aggrieved~wronged|deceased
aghast~agog|appalled
agile~nimble|versatile
agility~quickness|stamina
aging~urbanization|rapid growth|elderly|old
agitate~irritate|annoy
agitated~Flustered|irritated
agitation~go-slow|civil disobedience
agitator~provocateurs|zealot
aglow~ablaze|awash
agnostic~humanist|atheist
ago~early|recently
agog~aghast|sighted
agonize~harrow|fret
agonizing~wrenching|excruciating
agonizingly~excruciatingly|achingly
agony~anguish|pain
agrarian~nomadic|pastoral
agree~decide|insist
agreeable~satisfactory|acceptable
agreed~pledged|announced
agreeing~agreed|joking
agreement~accord|Treaty
agribusiness~life science|metallurgy
agricultural~animal husbandry|chemical industry|industrial|farming
agriculture~tourism|farming
agronomist~geologist|seismologist
agronomy~Botany|biochemistry
aground~lounging|amok
ahead~forward|early
ai~British Foreign Office|Koh
aid~assistance|food aid|help|assist
aide~adviser|advisor
aids~HIV/AIDS|malaria
ail~cripple|bail out
ailing~debt-ridden|beleaguered
ailment~illness|disorder
aim~objective|purpose|aim at|target
aimless~well-adjusted|meek
aimlessly~restlessly|helplessly
air~water|atmosphere|maritime|aerial|broadcast|televise
airbags~air bag|headrest
airbrush~retransmit|inlay
aircraft~plane|airplane
airdrop~planeloads|over @@,@@@ tons|air-drop|airlift
aired~disclosed|happened
airfare~fare|plane ticket
airfield~airstrip|air base
airflow~air current|air mass
airing~snippet|ream
airless~third-floor|climate-controlled
airlift~airdrop|evacuation|airdrop|ferry
airline~carrier|company
airliner~jetliner|plane
airman~airmen|serviceman
airmen~servicemen|airman
airplane~aircraft|plane
airplay~airtime|foot traffic
airport~port|hotel
